ev:        2429  track:           0 phi: 4868, theta:  84
ev:        2439  track:           0 phi: 4604, theta:  33
ev:        2449  track:           0 phi: 1740, theta:  96
ev:        2459  track:           0 phi: 4160, theta:  91
ev:        2469  track:           0 phi: 2756, theta:   5
ev:        2479  track:           0 phi: 2264, theta:  58
ev:        2489  track:           0 phi:  828, theta:  23
ev:        2499  track:           0 phi: 1036, theta:  12
ev:        2509  track:           0 phi: 2972, theta:  12
ev:        2519  track:           0 phi: 2716, theta:  14
ev:        2529  track:           0 phi: 2836, theta:  86
ev:        2539  track:           0 phi: 4404, theta:  18
ev:        2549  track:           0 phi: 4424, theta:  50
ev:        2559  track:           0 phi: 2340, theta: 106
ev:        2569  track:           0 phi: 1196, theta:  11
ev:        2579  track:           0 phi: 3742, theta:  35
ev:        2589  track:           0 phi: 1340, theta:  11
ev:        2599  track:           0 phi: 1935, theta:  66
ev:        2609  track:           0 phi: 4766, theta:  41
ev:        2619  track:           0 phi: 1260, theta:  39
ev:        2629  track:           0 phi: 4092, theta:  31
ev:        2639  track:           0 phi: 3944, theta:  97
ev:        2649  track:           0 phi: 3740, theta:  14
ev:        2659  track:           0 phi: 2908, theta:  18
ev:        2669  track:           0 phi: 3896, theta:  97
ev:        2689  track:           0 phi: 4004, theta:  25
ev:        2699  track:           0 phi: 4828, theta:  67
ev:        2709  track:           0 phi: 4176, theta:  81
ev:        2719  track:           0 phi:  674, theta:  10
ev:        2729  track:           0 phi:  490, theta:  35
ev:        2739  track:           0 phi: 3647, theta:  75
ev:        2749  track:           0 phi: 3116, theta:  58
ev:        2759  track:           0 phi:  796, theta:  20
ev:        2779  track:           0 phi: 1748, theta:  35
ev:        2789  track:           0 phi: 4252, theta:  80
ev:        2799  track:           0 phi: 3932, theta:  53
ev:        2809  track:           0 phi: 4140, theta:  83
ev:        2819  track:           0 phi: 1828, theta:  29
ev:        2829  track:           0 phi: 1918, theta:  31
ev:        2839  track:           0 phi: 3668, theta:  14
ev:        2849  track:           0 phi:  388, theta:  13
